,FacilityName_Full,Category
127,FRIDGE,Refrigerator
128,SlingShot,Satellite deployer
129,SoFIE,Combustion
130,BRIC,Biology
131,BXF,Combustion
132,ADSEP,Biology
133,KERMIT,Microscope
134,SAMS-II,Physics
135,JEM-EF,External payloads
136,IPU2,Image processing
137,CBPD,Crew health
138,AMF,3D printing
139,ETC,Stowage
140,KFT,Glovebox
141,Bartolomeo,External payloads
142,TELLAS,Biology
143,Bio-Analyzer,Crew health
144,ABS,Biology
145,SALI,Incubator
146,CellCult,Biology
147,HSRC,External payloads
148,PGB,Glovebox
149,MSPR-2,General science
150,ARCTIC,Refrigerator
151,SPySE,General science
152,AEM,Biology
153,ADSEP-2,Biology
154,BSTC,Biology
155,GASMAP,Crew health
156,BFF,inSPA
157,Biomimetic Fabrication of Multifunctional DNA-inspired Nanomaterials,inSPA
158,CRF,inSPA
159,Drug Delivery Medical Devices,inSPA
160,FOP,inSPA
161,In Space Manufacturing of Tissue Engineered Liver,inSPA
162,BEOL,inSPA
163,ICF,inSPA
164,Integrated Space Stem Cell Orbiting Lab,inSPA
165,Intelligent Glass Optics,inSPA
166,MSTIC,inSPA
167,PIL-BOX,inSPA
168,iPSC,inSPA
169,Protein-Based Artificial Retinas,inSPA
170,TCMM,inSPA
171,TSCM,inSPA
172,VAM,inSPA
